hint_point	status	ux_condition	ux_points	canonical_text	current_code_source
welcome_roles_trash	live	мусор под экраном выбора роли	1	Нажми одну из кнопок выше: 🏢 Работодатель или 👤 Соискатель.	findex_bot/handlers/start.py:90 :: WELCOME_CLEAN_THREAD_HINT
vacancy_contact_mode_trash	live	мусор под экраном выбора способа получения откликов	2	Нажми одну из кнопок выше: 🔒 Отклики через бота или 📞 Контакты в объявлении.	findex_bot/middlewares/fsm_watchdog.py:66 :: _clean_thread_hint_for_state
vacancy_media_choice_trash	live	мусор под экраном выбора медиа	2	Нажми одну из кнопок выше: ➕ Добавить медиа или ⏭ Без медиа.	findex_bot/middlewares/fsm_watchdog.py:69 :: _clean_thread_hint_for_state
vacancy_media_confirm_trash	live	мусор под экраном подтверждения медиа	2	Нажми одну из кнопок выше: ✅ Подтвердить, 🔁 Заменить или 🗑 Удалить.	findex_bot/middlewares/fsm_watchdog.py:87 :: _clean_thread_hint_for_state
vacancy_preview_trash	live	мусор под preview объявления до отправки на модерацию	2	Используй кнопки выше: исправить поле, изменить медиа или отправить объявление на модерацию.	findex_bot/handlers/employer.py:1027 :: employer_buttons_only_trash ; findex_bot/handlers/seeker.py:988 :: seeker_buttons_only_trash ; findex_bot/middlewares/fsm_watchdog.py:90 :: _clean_thread_hint_for_state
vacancy_on_moderation_trash	live	мусор под preview объявления, которое уже отправлено на модерацию	2	⏳ Объявление уже отправлено на модерацию. Дождись ответа модератора.	findex_bot/handlers/employer.py:1025 :: employer_buttons_only_trash ; findex_bot/handlers/seeker.py:986 :: seeker_buttons_only_trash
respond_intro_choice_trash	live	мусор под intro-карточкой отклика до старта быстрого отклика	1	👆 Нажми кнопку «⚡ Откликнуться за 1 минуту» выше.	findex_bot/handlers/responds.py:1027 :: _send_intro_trash_hint ; findex_bot/middlewares/fsm_watchdog.py:75 :: _clean_thread_hint_for_state
respond_saved_choice_trash	live	мусор под экраном выбора между быстрым откликом и перезапуском заполнения	1	Нажми одну из кнопок выше: ⚡ Быстрый отклик или ✏️ Заполнить заново.	findex_bot/middlewares/fsm_watchdog.py:78 :: _clean_thread_hint_for_state
respond_form_preview_trash	live	мусор под preview анкеты отклика перед отправкой	1	Используй кнопки выше: измени поле или отправь отклик.	findex_bot/middlewares/fsm_watchdog.py:81 :: _clean_thread_hint_for_state
respond_existing_notice_trash	live	мусор под notice-экраном, где уже существует отклик на это объявление	1	Используй кнопку «Открыть мой отклик» в карточке выше.	findex_bot/handlers/responds.py:3449 :: form_existing_notice_clean_thread
respond_citizenship_pick_trash	live	мусор под экраном выбора гражданства в анкете отклика	1	Здесь нужно выбрать гражданство кнопкой выше. Если страны нет в списке — нажми «🌍 Другая страна».	findex_bot/middlewares/fsm_watchdog.py:84 :: _clean_thread_hint_for_state
respond_active_card_trash	target	мусор под активной карточкой отклика	2	Управляй откликом кнопками в карточке выше или воспользуйся /menu	not_yet_separated ; future_bind_anchor = findex_bot/handlers/responds.py:63 :: ACTIVE_KEY
